ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,gene_grade
208666_s_at,0.689,7.74E-05,-4.1883485,-0.173,-0.46923325,ST13,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein),0
211971_s_at,0.689,0.0002051,-3.9087215,-0.733,-0.36035177,LRPPRC,leucine rich pentatricopeptide repeat containing,0
205398_s_at,0.689,0.0002058,-3.9076818,-0.735,-0.86335867,SMAD3,SMAD family member 3,0
212183_at,0.689,0.0002757,-3.8216209,-0.903,-1.03959566,NUDT4P1///NUDT4,nudix hydrolase 4 pseudogene 1///nudix hydrolase 4,0
202514_at,0.689,0.0003131,-3.7838424,-0.976,-1.26172002,DLG1,discs large MAGUK scaffold protein 1,0
212502_at,0.689,0.0004215,-3.6947741,-1.148,-0.34381084,ADO,2-aminoethanethiol dioxygenase,0
216883_x_at,0.689,0.0005137,-3.6347718,-1.262,-0.98539055,PDE6D,phosphodiesterase 6D,0
204274_at,0.689,0.000617,-3.5786974,-1.367,-0.51961966,EBAG9,"estrogen receptor binding site associated, antigen, 9",0
208398_s_at,0.689,0.0006707,-3.5529659,-1.415,-0.31914742,TBPL1,TATA-box binding protein like 1,0
208985_s_at,0.689,0.0007577,-3.5152009,-1.486,-0.33168968,EIF3J,eukaryotic translation initiation factor 3 subunit J,0
208667_s_at,0.689,0.0008471,-3.4804442,-1.55,-0.34832386,ST13,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein),0
209274_s_at,0.689,0.0009354,-3.4493548,-1.607,-0.67734523,ISCA1,iron-sulfur cluster assembly 1,0
207974_s_at,0.689,0.0010942,-3.3998599,-1.697,-0.21860766,SKP1,S-phase kinase-associated protein 1,0
212444_at,0.689,0.0012439,-3.3590712,-1.771,-0.63304573,GPRC5A,G protein-coupled receptor class C group 5 member A,0
214214_s_at,0.689,0.0013098,-3.3425462,-1.801,-0.38934682,C1QBP,complement C1q binding protein,0
202741_at,0.689,0.0013584,-3.3308749,-1.822,-0.34122147,PRKACB,protein kinase cAMP-activated catalytic subunit beta,0
